index,ODDO1,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30
3675179,1575344.763029,-1.0492322899849478,-3.465393352746856,-3.1311144017124626,-3.0129097227566715,-1.1196073898820271,-2.8197202915096535,-0.9311849476103742,-0.2648073102732168,-0.5106722937495572,-0.4196620694653973,-0.4996373998013863,-0.11901205560203303,-0.28646357142448026,-12.119655634246216,-1.2554709649960016,-2.5180171900569714,-2.957560824837962,-4.123227293471617,-3.7046751256774195,-2.0445928852589033,-0.9563787403581367,-0.31368682239290224,-0.29580064773996423,0.0
3675180,1575345.20687,-1.1988978272212347,-3.465393352746856,-3.1311144017124626,-3.5972317839900554,-1.3779357954982814,-2.855152859094348,-0.9589768001372531,-0.15908569324207428,-0.33393991534806117,-0.4196620694653973,-0.3737463751204039,-0.048641362397776916,-0.23029369544894604,-12.158651553996464,-1.3475499865174518,-2.4381379440093913,-2.9613536823045292,-4.239045274220809,-3.6243578102265284,-2.0445928852589033,-0.9563787403581367,-0.41448559965613485,-0.28065031059744616,0.0
3675181,1575345.65071,-1.1988978272212347,-4.090289268145479,-3.399761861734397,-3.851430925052775,-1.6223380887183603,-2.8756077477449837,-0.9938988090175906,-0.15908569324207428,-0.33393991534806117,-0.4381172785636993,-0.39124682794876564,-0.10134629701129098,-0.23386434555742794,-12.158651553996464,-1.3875851659302492,-2.369622921847192,-2.90303849875606,-4.239045274220809,-3.6243578102265284,-2.0350359341256294,-0.9973950457331616,-0.555051304735694,-0.28646578162482267,0.0
3675182,1575346.094551,-1.5792359911550333,-4.548726158520238,-3.4502931245793427,-3.851430925052775,-1.6223380887183603,-2.8756077477449837,-0.9938988090175906,-0.039349548201732885,-0.3362112858795958,-0.4844847444495955,-0.4017221583828444,-0.03815884370681652,-0.17754830261838855,-12.158651553996464,-1.3875851659302492,-2.369622921847192,-2.90303849875606,-4.239045274220809,-3.6514092603854977,-1.9914140222044279,-0.9973950457331616,-0.555051304735694,-0.28646578162482267,0.0
3675183,1575346.538391,-1.8752804271480596,-4.548726158520238,-3.4502931245793427,-4.29283189245214,-2.198714614009855,-2.9233092650948116,-1.130533877039532,-0.04488260639115704,-0.3362112858795958,-0.4844847444495955,-0.4087472807771274,-0.03822148824082624,-0.11446681736854135,-12.361607986711793,-1.4658589531714243,-2.3171264132162626,-2.8489713155701466,-4.165716618106952,-3.6357719242176545,-1.9914140222044279,-1.0416213228331885,-0.7331164415078886,-0.3529202418114454,0.0
3675184,1575346.982232,-1.8752804271480596,-4.712583957963553,-3.4502931245793427,-4.464407522934308,-2.424940490487809,-2.953543462730318,-1.3623624413494997,-0.04488260639115704,-0.3549155284305812,-0.5625951699845713,-0.37725893631754537,-0.03815884370681652,-0.13538957414455818,-12.361607986711793,-1.4658589531714243,-2.3171264132162626,-2.8489713155701466,-4.165716618106952,-3.6357719242176545,-1.9914140222044279,-1.0416213228331885,-0.7331164415078886,-0.3529202418114454,0.0
3675185,1575347.426072,-2.5668043615731477,-4.741022730168797,-3.391008414627398,-4.464407522934308,-2.424940490487809,-2.953543462730318,-1.3623624413494997,-0.22364442062871182,-0.466469448101083,-0.6374734399801687,-0.2968649321131472,0.06370116859299396,-0.13183980503086273,-12.437440159374843,-1.5419012093919524,-2.3217225242415784,-2.8546037089079985,-4.152267032511282,-3.6040597108456427,-1.8832582602994425,-0.9784731071436764,-0.9736425219225929,-0.3447522339606965,0.0
3675186,1575347.869913,-3.2972170183545044,-4.741022730168797,-3.391008414627398,-4.481615871119052,-2.6769424062250695,-2.9989345934360623,-1.54829801034577,-0.3308785345351641,-0.466469448101083,-0.6374734399801687,-0.31085282374436746,0.14451261746553734,-0.11081264328091364,-12.437440159374843,-1.5419012093919524,-2.3354138929499038,-2.8353549572651704,-4.138817446915612,-3.6040597108456427,-1.8832582602994425,-0.9784731071436764,-0.9736425219225929,-0.3447522339606965,0.0
3675187,1575348.313754,-3.2972170183545044,-4.744905156408421,-3.3415950162398387,-4.507496758003031,-2.6734951547739767,-2.9989345934360623,-1.6499125866648119,-0.3308785345351641,-0.601369106626141,-0.679291946218051,-0.2758727024734259,0.21124992769722947,-0.0547889342688845,-12.425143991735865,-1.5695305892323386,-2.3582393050882873,-2.811801312397789,-4.125348918241638,-3.664915961941664,-1.8834341551055764,-1.3623181471018047,-1.4047335496737037,-0.4275427098488169,0.0
3675188,1575348.757594,-3.7426990166603806,-4.679136855909196,-3.359082963598626,-4.507496758003031,-2.6734951547739767,-2.9989345934360623,-1.6499125866648119,-0.45055724298530386,-0.8036000881251261,-0.7340390746134465,-0.22339212837412253,0.29195696901309,0.015559137166645212,-12.425143991735865,-1.5695305892323386,-2.3582393050882873,-2.811801312397789,-4.125348918241638,-3.664915961941664,-1.9316293319862585,-1.7669435303323142,-1.6895234409735667,-0.4275427098488169,0.0
